"participant_id","participant_group","age_yrs","edu_year","letterstring_response_id","itemid","alphabet","A","B","C","D","response","rt","cleaned_response","correct_response","correct","stringdist","exclude","exclude_comment"
3935,"adult",24,NA,2152,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",19015,"zeta theta","zeta theta",1,0,"include","include"
3947,"adult",24,NA,2177,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",10266,"zeta theta","zeta theta",1,0,"include","include"
3948,"adult",24,NA,2192,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",8611,"zeta theta","zeta theta",1,0,"include","include"
3949,"adult",24,NA,2216,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",22222,"zeta theta","zeta theta",1,0,"include","include"
3951,"adult",25,NA,2224,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",8462,"zeta theta","zeta theta",1,0,"exclude","adult criterion 1: <80% items answered"
3952,"adult",17,NA,2244,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",22190,"zeta theta","zeta theta",1,0,"include","include"
3950,"adult",30,NA,2248,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",28809,"zeta theta","zeta theta",1,0,"include","include"
3957,"adult",29,NA,2274,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",7293,"zeta theta","zeta theta",1,0,"include","include"
3956,"adult",17,NA,2281,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",26828,"zeta theta","zeta theta",1,0,"include","include"
3959,"adult",17,NA,2286,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",10501,"zeta theta","zeta theta",1,0,"include","include"
3958,"adult",26,NA,2307,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","",34899,NA,"zeta theta",0,NA,"exclude","adult criterion 1: <80% items answered"
3961,"adult",17,NA,2310,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",8695,"zeta theta","zeta theta",1,0,"include","include"
3963,"adult",19,NA,2356,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",9503,"zeta theta","zeta theta",1,0,"include","include"
3964,"adult",20,NA,2392,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",9708,"zeta theta","zeta theta",1,0,"include","include"
3967,"adult",20,NA,2403,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",11636,"zeta theta","zeta theta",1,0,"include","include"
3969,"adult",37,NA,2407,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",8164,"zeta theta","zeta theta",1,0,"include","include"
3965,"adult",39,NA,2410,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",15424,"zeta theta","zeta theta",1,0,"include","include"
3966,"adult",19,NA,2419,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",16248,"zeta theta","zeta theta",1,0,"exclude","adult criterion 1: <80% items answered"
3971,"adult",19,NA,2475,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",10348,"zeta theta","zeta theta",1,0,"include","include"
3970,"adult",22,NA,2489,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",9962,"zeta theta","zeta theta",1,0,"include","include"
3973,"adult",17,NA,2539,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",11724,"zeta theta","zeta theta",1,0,"include","include"
3982,"adult",22,NA,2540,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",7957,"zeta theta","zeta theta",1,0,"include","include"
3977,"adult",25,NA,2542,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",32283,"zeta theta","zeta theta",1,0,"include","include"
3974,"adult",19,NA,2550,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",16849,"zeta theta","zeta theta",1,0,"include","include"
3975,"adult",20,NA,2554,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",13381,"zeta theta","zeta theta",1,0,"include","include"
3978,"adult",22,NA,2555,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",10836,"zeta theta","zeta theta",1,0,"include","include"
3953,"adult",33,NA,2584,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",14551,"zeta theta","zeta theta",1,0,"include","include"
3983,"adult",22,NA,2603,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",6775,"zeta theta","zeta theta",1,0,"include","include"
3972,"adult",20,NA,2638,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",21496,"zeta theta","zeta theta",1,0,"include","include"
3962,"adult",30,NA,2650,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",10148,"zeta theta","zeta theta",1,0,"include","include"
3981,"adult",17,NA,2671,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",30421,"zeta theta","zeta theta",1,0,"include","include"
3976,"adult",27,NA,2682,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",9997,"zeta theta","zeta theta",1,0,"include","include"
3980,"adult",24,NA,2727,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",14795,"zeta theta","zeta theta",1,0,"include","include"
3988,"adult",32,NA,2733,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",17802,"zeta theta","zeta theta",1,0,"include","include"
3992,"adult",33,NA,2740,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",12262,"zeta theta","zeta theta",1,0,"include","include"
3986,"adult",21,NA,2742,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",11791,"zeta theta","zeta theta",1,0,"include","include"
3990,"adult",17,NA,2749,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",8143,"zeta theta","zeta theta",1,0,"include","include"
3984,"adult",23,NA,2752,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",9959,"zeta theta","zeta theta",1,0,"include","include"
3987,"adult",26,NA,2761,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",10479,"zeta theta","zeta theta",1,0,"include","include"
3989,"adult",25,NA,2783,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",6996,"zeta theta","zeta theta",1,0,"include","include"
3985,"adult",31,NA,2818,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",26937,"zeta theta","zeta theta",1,0,"include","include"
3994,"adult",17,NA,2851,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",13493,"zeta theta","zeta theta",1,0,"include","include"
3998,"adult",24,NA,2855,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",9603,"zeta theta","zeta theta",1,0,"include","include"
3996,"adult",21,NA,2866,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",19024,"zeta theta","zeta theta",1,0,"include","include"
3993,"adult",17,NA,2892,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",31230,"zeta theta","zeta theta",1,0,"include","include"
3995,"adult",28,NA,2894,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",10647,"zeta theta","zeta theta",1,0,"include","include"
3999,"adult",49,NA,2908,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",11433,"zeta theta","zeta theta",1,0,"include","include"
4001,"adult",21,NA,2948,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&theta;&iota;",8839,"theta iota","zeta theta",0,2,"include","include"
4000,"adult",39,NA,2964,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",21783,"zeta theta","zeta theta",1,0,"include","include"
4002,"adult",22,NA,2986,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",7222,"zeta theta","zeta theta",1,0,"include","include"
4003,"adult",22,NA,3010,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",18789,"zeta theta","zeta theta",1,0,"include","include"
4004,"adult",19,NA,3017,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",10960,"zeta theta","zeta theta",1,0,"include","include"
4005,"adult",17,NA,3044,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",15957,"zeta theta","zeta theta",1,0,"include","include"
4007,"adult",24,NA,3058,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",14299,"zeta theta","zeta theta",1,0,"include","include"
4006,"adult",17,NA,3068,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",24311,"zeta theta","zeta theta",1,0,"include","include"
3968,"adult",17,NA,3088,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",28063,"zeta theta","zeta theta",1,0,"include","include"
4019,"adult",17,NA,3105,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&eta;&theta;",10009,"eta theta","zeta theta",0,1,"exclude","adult criterion 1: <80% items answered"
4020,"adult",33,NA,3117,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",8694,"zeta theta","zeta theta",1,0,"include","include"
4026,"adult",32,NA,3134,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",16645,"zeta theta","zeta theta",1,0,"include","include"
3730,"child",8,4,821,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&kappa;&mu;&mu;",14999,"kappa mu mu","kappa kappa mu mu",0,2,"include",""
3743,"child",9,5,853,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&kappa;&kappa;&mu;&mu;",56700,"kappa kappa mu mu","kappa kappa mu mu",1,0,"include",""
3752,"child",8,5,882,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&kappa;&kappa;&mu;&mu;",28567,"kappa kappa mu mu","kappa kappa mu mu",1,0,"include",""
3760,"child",9,5,914,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&kappa;&kappa;&mu;&mu;",51463,"kappa kappa mu mu","kappa kappa mu mu",1,0,"include",""
3762,"child",8,5,921,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&kappa;&kappa;&mu;&mu;",46414,"kappa kappa mu mu","kappa kappa mu mu",1,0,"include",""
3766,"child",9,5,993,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&kappa;&mu;&mu;",25037,"kappa mu mu","kappa kappa mu mu",0,2,"include",""
3771,"child",7,4,1011,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&kappa;&kappa;&mu;&mu;",32657,"kappa kappa mu mu","kappa kappa mu mu",1,0,"maybe","answered < 40% of Latin alphabet items correctly"
3772,"child",8,4,1023,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&mu;&mu;&nu;&nu;",27013,"mu mu nu nu","kappa kappa mu mu",0,4,"include",""
3779,"child",8,5,1045,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&kappa;&kappa;&mu;&mu;",106083,"kappa kappa mu mu","kappa kappa mu mu",1,0,"include",""
3785,"child",8,5,1067,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&kappa;&kappa;&lambda;&lambda;",164640,"kappa kappa lambda lambda","kappa kappa mu mu",0,2,"include",""
3790,"child",8,4,1080,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&kappa;&kappa;&mu;&mu;",88126,"kappa kappa mu mu","kappa kappa mu mu",1,0,"include",""
3795,"child",8,4,1087,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&kappa;&kappa;&mu;&mu;",24480,"kappa kappa mu mu","kappa kappa mu mu",1,0,"include",""
3798,"child",8,4,1110,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&kappa;&kappa;&mu;&mu;",17337,"kappa kappa mu mu","kappa kappa mu mu",1,0,"include",""
3799,"child",8,5,1133,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&kappa;&kappa;&mu;&mu;",17802,"kappa kappa mu mu","kappa kappa mu mu",1,0,"include",""
3800,"child",9,5,1156,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&kappa;&kappa;&mu;&mu;",97545,"kappa kappa mu mu","kappa kappa mu mu",1,0,"include",""
3801,"child",9,5,1157,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&kappa;&kappa;&mu;&mu;",33988,"kappa kappa mu mu","kappa kappa mu mu",1,0,"include",""
3803,"child",8,4,1190,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&kappa;&kappa;&mu;&mu;",81603,"kappa kappa mu mu","kappa kappa mu mu",1,0,"include",""
3807,"child",8,5,1202,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&kappa;&kappa;&mu;&mu;",22959,"kappa kappa mu mu","kappa kappa mu mu",1,0,"include",""
3809,"child",8,5,1225,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&kappa;&kappa;&mu;&mu;",46471,"kappa kappa mu mu","kappa kappa mu mu",1,0,"include",""
3808,"child",8,5,1229,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&kappa;&kappa;&mu;&mu;",35183,"kappa kappa mu mu","kappa kappa mu mu",1,0,"include",""
3821,"child",9,5,1292,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&kappa;&kappa;&mu;&mu;",105938,"kappa kappa mu mu","kappa kappa mu mu",1,0,"include",""
3813,"child",8,4,1293,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&kappa;&kappa;&mu;&mu;",82198,"kappa kappa mu mu","kappa kappa mu mu",1,0,"include",""
3832,"child",9,5,1330,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&kappa;&kappa;&mu;&mu;",24806,"kappa kappa mu mu","kappa kappa mu mu",1,0,"include",""
3837,"child",9,5,1338,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&kappa;&kappa;&mu;&mu;",51255,"kappa kappa mu mu","kappa kappa mu mu",1,0,"include",""
3831,"child",7,4,1340,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&lambda;",61724,"lambda","kappa kappa mu mu",0,7,"include",""
3842,"child",8,4,1380,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","",23109,NA,"kappa kappa mu mu",0,NA,"exclude","child criteria 3: skipped >40% items for 1 or more alphabets"
3844,"child",8,4,1400,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&kappa;&kappa;&mu;&mu;",52227,"kappa kappa mu mu","kappa kappa mu mu",1,0,"include",""
3843,"child",9,5,1417,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&kappa;&kappa;&mu;&mu;",71745,"kappa kappa mu mu","kappa kappa mu mu",1,0,"include",""
3845,"child",9,5,1427,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&kappa;&kappa;&mu;&mu;",67536,"kappa kappa mu mu","kappa kappa mu mu",1,0,"maybe","answered < 40% of Latin alphabet items correctly"
3846,"child",7,4,1436,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ","&kappa;&kappa;&lambda;&lambda;",54645,"kappa kappa lambda lambda","kappa kappa mu mu",0,2,"include",""
