model,rowid,timestamp,itemid,prev_next,prev_next_dist,alphabet,stimulus,solution,response,template_nr
gpt-3.5-turbo-0125,25,20241028222751,225,prev,2,Latin,e,c,c,0
gpt-3.5-turbo-0125,26,20241028222751,315,next,1,Latin,e,f,f,0
gpt-3.5-turbo-0125,27,20241028222752,325,next,2,Latin,e,g,g,0
gpt-3.5-turbo-0125,28,20241028222752,215,prev,1,Greek,epsilon,delta,delta,0
gpt-3.5-turbo-0125,29,20241028222753,225,prev,2,Greek,epsilon,gamma,delta,0
gpt-3.5-turbo-0125,30,20241028222753,315,next,1,Greek,epsilon,zeta,zeta,0
gpt-3.5-turbo-0125,31,20241028222754,325,next,2,Greek,epsilon,eta,zeta,0
gpt-3.5-turbo-0125,32,20241028222754,215,prev,1,Symbol,^,!,!,0
gpt-3.5-turbo-0125,33,20241028222754,225,prev,2,Symbol,^,%,!,0
gpt-3.5-turbo-0125,34,20241028222755,315,next,1,Symbol,^,#,#,0
gpt-3.5-turbo-0125,35,20241028222756,325,next,2,Symbol,^,~,#,0
gpt-3.5-turbo-0125,36,20241028222758,216,prev,1,Latin,f,e,e,0
gpt-3.5-turbo-0125,37,20241028222758,226,prev,2,Latin,f,d,d,0
gpt-3.5-turbo-0125,38,20241028222759,316,next,1,Latin,f,g,g,0
gpt-3.5-turbo-0125,39,20241028222759,326,next,2,Latin,f,h,h,0
gpt-3.5-turbo-0125,40,20241028222759,216,prev,1,Greek,zeta,epsilon,epsilon,0
gpt-3.5-turbo-0125,41,20241028222800,226,prev,2,Greek,zeta,delta,epsilon,0
gpt-3.5-turbo-0125,42,20241028222800,316,next,1,Greek,zeta,eta,eta,0
gpt-3.5-turbo-0125,43,20241028222801,326,next,2,Greek,zeta,theta,eta,0
gpt-3.5-turbo-0125,44,20241028222801,216,prev,1,Symbol,#,^,^,0
gpt-3.5-turbo-0125,45,20241028222801,226,prev,2,Symbol,#,!,^,0
gpt-3.5-turbo-0125,46,20241028222802,316,next,1,Symbol,#,~,~,0
gpt-3.5-turbo-0125,47,20241028222803,326,next,2,Symbol,#,$,~,0
gpt-3.5-turbo-0125,48,20241028222803,217,prev,1,Latin,g,f,f,0
gpt-3.5-turbo-0125,49,20241028222803,227,prev,2,Latin,g,e,e,0
gpt-3.5-turbo-0125,50,20241028222804,317,next,1,Latin,g,h,h,0
gpt-3.5-turbo-0125,51,20241028222805,327,next,2,Latin,g,i,i,0
gpt-3.5-turbo-0125,52,20241028222805,217,prev,1,Greek,eta,zeta,zeta,0
gpt-3.5-turbo-0125,53,20241028222806,227,prev,2,Greek,eta,epsilon,eta,0
gpt-3.5-turbo-0125,54,20241028222806,317,next,1,Greek,eta,theta,theta,0
gpt-3.5-turbo-0125,55,20241028222806,327,next,2,Greek,eta,iota,theta,0
gpt-3.5-turbo-0125,56,20241028222807,217,prev,1,Symbol,~,#,#,0
gpt-3.5-turbo-0125,57,20241028222807,227,prev,2,Symbol,~,^,#,0
gpt-3.5-turbo-0125,58,20241028222808,317,next,1,Symbol,~,$,$,0
gpt-3.5-turbo-0125,59,20241028222808,327,next,2,Symbol,~,{,$,0
gpt-3.5-turbo-0125,60,20241028222808,218,prev,1,Latin,h,g,g,0
gpt-3.5-turbo-0125,61,20241028222809,228,prev,2,Latin,h,f,f,0
gpt-3.5-turbo-0125,62,20241028222809,318,next,1,Latin,h,i,i,0
gpt-3.5-turbo-0125,63,20241028222809,328,next,2,Latin,h,j,j,0
gpt-3.5-turbo-0125,64,20241028222810,218,prev,1,Greek,theta,eta,eta,0
gpt-3.5-turbo-0125,65,20241028222810,228,prev,2,Greek,theta,zeta,phi,0
gpt-3.5-turbo-0125,66,20241028222811,318,next,1,Greek,theta,iota,iota,0
gpt-3.5-turbo-0125,67,20241028222811,328,next,2,Greek,theta,kappa,iota,0
gpt-3.5-turbo-0125,68,20241028222812,218,prev,1,Symbol,$,~,~,0
gpt-3.5-turbo-0125,69,20241028222812,228,prev,2,Symbol,$,#,~,0
gpt-3.5-turbo-0125,70,20241028222813,318,next,1,Symbol,$,{,{,0
gpt-3.5-turbo-0125,71,20241028222813,328,next,2,Symbol,$,=,{,0
gpt-4-0613,0,20241028222813,213,prev,1,Latin,c,b,b,0
gpt-4-0613,1,20241028222814,223,prev,2,Latin,c,a,a,0
gpt-4-0613,2,20241028222814,313,next,1,Latin,c,d,d,0
gpt-4-0613,3,20241028222815,323,next,2,Latin,c,e,e,0
gpt-4-0613,4,20241028222815,213,prev,1,Greek,gamma,beta,beta,0
gpt-4-0613,5,20241028222815,223,prev,2,Greek,gamma,alpha,alpha,0
gpt-4-0613,6,20241028222816,313,next,1,Greek,gamma,delta,delta,0
gpt-4-0613,7,20241028222816,323,next,2,Greek,gamma,epsilon,delta,0
gpt-4-0613,8,20241028222817,213,prev,1,Symbol,%,@,@,0
gpt-4-0613,9,20241028222817,223,prev,2,Symbol,%,*,@,0
gpt-4-0613,10,20241028222817,313,next,1,Symbol,%,!,!,0
gpt-4-0613,11,20241028222818,323,next,2,Symbol,%,^,!,0
gpt-4-0613,12,20241028222818,214,prev,1,Latin,d,c,c,0
gpt-4-0613,13,20241028222819,224,prev,2,Latin,d,b,b,0
gpt-4-0613,14,20241028222819,314,next,1,Latin,d,e,e,0
gpt-4-0613,15,20241028222819,324,next,2,Latin,d,f,f,0
gpt-4-0613,16,20241028222820,214,prev,1,Greek,delta,gamma,gamma,0
gpt-4-0613,17,20241028222820,224,prev,2,Greek,delta,beta,beta,0
gpt-4-0613,18,20241028222821,314,next,1,Greek,delta,epsilon,epsilon,0
gpt-4-0613,19,20241028222821,324,next,2,Greek,delta,zeta,zeta,0
gpt-4-0613,20,20241028222822,214,prev,1,Symbol,!,%,%,0
gpt-4-0613,21,20241028222822,224,prev,2,Symbol,!,@,@,0
gpt-4-0613,22,20241028222822,314,next,1,Symbol,!,^,^,0
gpt-4-0613,23,20241028222823,324,next,2,Symbol,!,#,#,0
gpt-4-0613,24,20241028222823,215,prev,1,Latin,e,d,d,0
gpt-4-0613,25,20241028222824,225,prev,2,Latin,e,c,c,0
gpt-4-0613,26,20241028222824,315,next,1,Latin,e,f,f,0
gpt-4-0613,27,20241028222825,325,next,2,Latin,e,g,g,0
gpt-4-0613,28,20241028222825,215,prev,1,Greek,epsilon,delta,delta,0
gpt-4-0613,29,20241028222826,225,prev,2,Greek,epsilon,gamma,beta,0
gpt-4-0613,30,20241028222826,315,next,1,Greek,epsilon,zeta,zeta,0
gpt-4-0613,31,20241028222827,325,next,2,Greek,epsilon,eta,zeta,0
gpt-4-0613,32,20241028222827,215,prev,1,Symbol,^,!,!,0
gpt-4-0613,33,20241028222827,225,prev,2,Symbol,^,%,!,0
gpt-4-0613,34,20241028222828,315,next,1,Symbol,^,#,#,0
gpt-4-0613,35,20241028222828,325,next,2,Symbol,^,~,#,0
gpt-4-0613,36,20241028222829,216,prev,1,Latin,f,e,e,0
gpt-4-0613,37,20241028222829,226,prev,2,Latin,f,d,d,0
gpt-4-0613,38,20241028222830,316,next,1,Latin,f,g,g,0
gpt-4-0613,39,20241028222830,326,next,2,Latin,f,h,h,0
gpt-4-0613,40,20241028222830,216,prev,1,Greek,zeta,epsilon,epsilon,0
gpt-4-0613,41,20241028222831,226,prev,2,Greek,zeta,delta,delta,0
gpt-4-0613,42,20241028222831,316,next,1,Greek,zeta,eta,eta,0
gpt-4-0613,43,20241028222832,326,next,2,Greek,zeta,theta,eta,0
gpt-4-0613,44,20241028222832,216,prev,1,Symbol,#,^,^,0
gpt-4-0613,45,20241028222833,226,prev,2,Symbol,#,!,!,0
gpt-4-0613,46,20241028222833,316,next,1,Symbol,#,~,~,0
gpt-4-0613,47,20241028222833,326,next,2,Symbol,#,$,$,0
gpt-4-0613,48,20241028222834,217,prev,1,Latin,g,f,f,0
gpt-4-0613,49,20241028222834,227,prev,2,Latin,g,e,e,0
gpt-4-0613,50,20241028222834,317,next,1,Latin,g,h,h,0
gpt-4-0613,51,20241028222835,327,next,2,Latin,g,i,i,0
gpt-4-0613,52,20241028222836,217,prev,1,Greek,eta,zeta,zeta,0
gpt-4-0613,53,20241028222836,227,prev,2,Greek,eta,epsilon,zeta,0
gpt-4-0613,54,20241028222837,317,next,1,Greek,eta,theta,theta,0
gpt-4-0613,55,20241028222837,327,next,2,Greek,eta,iota,iota,0
gpt-4-0613,56,20241028222838,217,prev,1,Symbol,~,#,#,0
gpt-4-0613,57,20241028222838,227,prev,2,Symbol,~,^,#,0
gpt-4-0613,58,20241028222839,317,next,1,Symbol,~,$,$,0
gpt-4-0613,59,20241028222839,327,next,2,Symbol,~,{,{,0
gpt-4-0613,60,20241028222839,218,prev,1,Latin,h,g,g,0
gpt-4-0613,61,20241028222840,228,prev,2,Latin,h,f,f,0
gpt-4-0613,62,20241028222840,318,next,1,Latin,h,i,i,0
gpt-4-0613,63,20241028222841,328,next,2,Latin,h,j,j,0
gpt-4-0613,64,20241028222841,218,prev,1,Greek,theta,eta,eta,0
gpt-4-0613,65,20241028222842,228,prev,2,Greek,theta,zeta,eta,0
gpt-4-0613,66,20241028222842,318,next,1,Greek,theta,iota,iota,0
gpt-4-0613,67,20241028222843,328,next,2,Greek,theta,kappa,kappa,0
gpt-4-0613,68,20241028222843,218,prev,1,Symbol,$,~,~,0
gpt-4-0613,69,20241028222844,228,prev,2,Symbol,$,#,~,0
gpt-4-0613,70,20241028222844,318,next,1,Symbol,$,{,{,0
gpt-4-0613,71,20241028222844,328,next,2,Symbol,$,=,{,0
gpt-4o-2024-08-06,0,20241028222845,213,prev,1,Latin,c,b,b,0
gpt-4o-2024-08-06,1,20241028222845,223,prev,2,Latin,c,a,a,0
gpt-4o-2024-08-06,2,20241028222846,313,next,1,Latin,c,d,d,0
gpt-4o-2024-08-06,3,20241028222846,323,next,2,Latin,c,e,e,0
gpt-4o-2024-08-06,4,20241028222846,213,prev,1,Greek,gamma,beta,β,0
gpt-4o-2024-08-06,5,20241028222847,223,prev,2,Greek,gamma,alpha,alpha,0
gpt-4o-2024-08-06,6,20241028222847,313,next,1,Greek,gamma,delta,δ,0
gpt-4o-2024-08-06,7,20241028222848,323,next,2,Greek,gamma,epsilon,epsilon,0
gpt-4o-2024-08-06,8,20241028222848,213,prev,1,Symbol,%,@,@,0
gpt-4o-2024-08-06,9,20241028222848,223,prev,2,Symbol,%,*,@,0
gpt-4o-2024-08-06,10,20241028222849,313,next,1,Symbol,%,!,!,0
gpt-4o-2024-08-06,11,20241028222849,323,next,2,Symbol,%,^,!,0
gpt-4o-2024-08-06,12,20241028222850,214,prev,1,Latin,d,c,c,0
gpt-4o-2024-08-06,13,20241028222850,224,prev,2,Latin,d,b,b,0
gpt-4o-2024-08-06,14,20241028222850,314,next,1,Latin,d,e,e,0
gpt-4o-2024-08-06,15,20241028222851,324,next,2,Latin,d,f,f,0
gpt-4o-2024-08-06,16,20241028222851,214,prev,1,Greek,delta,gamma,γ,0
gpt-4o-2024-08-06,17,20241028222851,224,prev,2,Greek,delta,beta,beta,0
gpt-4o-2024-08-06,18,20241028222852,314,next,1,Greek,delta,epsilon,epsilon,0
gpt-4o-2024-08-06,19,20241028222852,324,next,2,Greek,delta,zeta,zeta,0
gpt-4o-2024-08-06,20,20241028222853,214,prev,1,Symbol,!,%,%,0
gpt-4o-2024-08-06,21,20241028222853,224,prev,2,Symbol,!,@,%,0
gpt-4o-2024-08-06,22,20241028222853,314,next,1,Symbol,!,^,^,0
gpt-4o-2024-08-06,23,20241028222854,324,next,2,Symbol,!,#,^,0
gpt-4o-2024-08-06,24,20241028222854,215,prev,1,Latin,e,d,d,0
gpt-4o-2024-08-06,25,20241028222855,225,prev,2,Latin,e,c,c,0
gpt-4o-2024-08-06,26,20241028222855,315,next,1,Latin,e,f,f,0
gpt-4o-2024-08-06,27,20241028222856,325,next,2,Latin,e,g,g,0
gpt-4o-2024-08-06,28,20241028222856,215,prev,1,Greek,epsilon,delta,delta,0
gpt-4o-2024-08-06,29,20241028222856,225,prev,2,Greek,epsilon,gamma,gamma,0
gpt-4o-2024-08-06,30,20241028222857,315,next,1,Greek,epsilon,zeta,zeta,0
gpt-4o-2024-08-06,31,20241028222857,325,next,2,Greek,epsilon,eta,eta,0
gpt-4o-2024-08-06,32,20241028222858,215,prev,1,Symbol,^,!,!,0
gpt-4o-2024-08-06,33,20241028222858,225,prev,2,Symbol,^,%,!,0
gpt-4o-2024-08-06,34,20241028222858,315,next,1,Symbol,^,#,#,0
gpt-4o-2024-08-06,35,20241028222859,325,next,2,Symbol,^,~,#,0
gpt-4o-2024-08-06,36,20241028222859,216,prev,1,Latin,f,e,e,0
gpt-4o-2024-08-06,37,20241028222859,226,prev,2,Latin,f,d,d,0
gpt-4o-2024-08-06,38,20241028222900,316,next,1,Latin,f,g,g,0
gpt-4o-2024-08-06,39,20241028222900,326,next,2,Latin,f,h,h,0
gpt-4o-2024-08-06,40,20241028222901,216,prev,1,Greek,zeta,epsilon,epsilon,0
gpt-4o-2024-08-06,41,20241028222901,226,prev,2,Greek,zeta,delta,epsilon,0
gpt-4o-2024-08-06,42,20241028222901,316,next,1,Greek,zeta,eta,eta,0
gpt-4o-2024-08-06,43,20241028222902,326,next,2,Greek,zeta,theta,theta,0
gpt-4o-2024-08-06,44,20241028222902,216,prev,1,Symbol,#,^,^,0
gpt-4o-2024-08-06,45,20241028222903,226,prev,2,Symbol,#,!,^,0
gpt-4o-2024-08-06,46,20241028222903,316,next,1,Symbol,#,~,~,0
gpt-4o-2024-08-06,47,20241028222903,326,next,2,Symbol,#,$,$,0
gpt-4o-2024-08-06,48,20241028222904,217,prev,1,Latin,g,f,f,0
gpt-4o-2024-08-06,49,20241028222905,227,prev,2,Latin,g,e,e,0
gpt-4o-2024-08-06,50,20241028222905,317,next,1,Latin,g,h,h,0
gpt-4o-2024-08-06,51,20241028222906,327,next,2,Latin,g,i,i,0
gpt-4o-2024-08-06,52,20241028222906,217,prev,1,Greek,eta,zeta,zeta,0
gpt-4o-2024-08-06,53,20241028222907,227,prev,2,Greek,eta,epsilon,ζ,0
gpt-4o-2024-08-06,54,20241028222908,317,next,1,Greek,eta,theta,theta,0
gpt-4o-2024-08-06,55,20241028222908,327,next,2,Greek,eta,iota,iota,0
gpt-4o-2024-08-06,56,20241028222909,217,prev,1,Symbol,~,#,#,0
gpt-4o-2024-08-06,57,20241028222909,227,prev,2,Symbol,~,^,#,0
gpt-4o-2024-08-06,58,20241028222910,317,next,1,Symbol,~,$,$,0
gpt-4o-2024-08-06,59,20241028222910,327,next,2,Symbol,~,{,$,0
gpt-4o-2024-08-06,60,20241028222910,218,prev,1,Latin,h,g,g,0
gpt-4o-2024-08-06,61,20241028222911,228,prev,2,Latin,h,f,f,0
gpt-4o-2024-08-06,62,20241028222911,318,next,1,Latin,h,i,i,0
gpt-4o-2024-08-06,63,20241028222913,328,next,2,Latin,h,j,j,0
gpt-4o-2024-08-06,64,20241028222913,218,prev,1,Greek,theta,eta,η,0
gpt-4o-2024-08-06,65,20241028222914,228,prev,2,Greek,theta,zeta,zeta,0
gpt-4o-2024-08-06,66,20241028222915,318,next,1,Greek,theta,iota,iota,0
gpt-4o-2024-08-06,67,20241028222915,328,next,2,Greek,theta,kappa,kappa,0
gpt-4o-2024-08-06,68,20241028222916,218,prev,1,Symbol,$,~,~,0
gpt-4o-2024-08-06,69,20241028222916,228,prev,2,Symbol,$,#,#,0
gpt-4o-2024-08-06,70,20241028222916,318,next,1,Symbol,$,{,{,0
gpt-4o-2024-08-06,71,20241028222916,328,next,2,Symbol,$,=,{,0
