model,rowid,timestamp,itemid,prev_next,prev_next_dist,alphabet,stimulus,solution,response,template_nr
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,51,20241028222122,327,next,2,Latin,g,i,i,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,52,20241028222123,217,prev,1,Greek,eta,zeta,Zeta,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,53,20241028222123,227,prev,2,Greek,eta,epsilon,delta,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,54,20241028222124,317,next,1,Greek,eta,theta,theta,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,55,20241028222124,327,next,2,Greek,eta,iota,theta,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,56,20241028222125,217,prev,1,Symbol,~,#,$,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,57,20241028222125,227,prev,2,Symbol,~,^,$,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,58,20241028222126,317,next,1,Symbol,~,$,$,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,59,20241028222126,327,next,2,Symbol,~,{,$,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,60,20241028222127,218,prev,1,Latin,h,g,g,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,61,20241028222127,228,prev,2,Latin,h,f,g,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,62,20241028222128,318,next,1,Latin,h,i,I.,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,63,20241028222129,328,next,2,Latin,h,j,I.,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,64,20241028222129,218,prev,1,Greek,theta,eta,Eta,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,65,20241028222130,228,prev,2,Greek,theta,zeta,Iota,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,66,20241028222130,318,next,1,Greek,theta,iota,iota,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,67,20241028222130,328,next,2,Greek,theta,kappa,Iota,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,68,20241028222131,218,prev,1,Symbol,$,~,~,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,69,20241028222131,228,prev,2,Symbol,$,#,$,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,70,20241028222132,318,next,1,Symbol,$,{,{,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,71,20241028222132,328,next,2,Symbol,$,=,{,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,0,20241028222133,213,prev,1,Latin,c,b,b,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,1,20241028222137,223,prev,2,Latin,c,a,a,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,2,20241028222138,313,next,1,Latin,c,d,d,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,3,20241028222138,323,next,2,Latin,c,e,e,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,4,20241028222139,213,prev,1,Greek,gamma,beta,beta,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,5,20241028222140,223,prev,2,Greek,gamma,alpha,beta,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,6,20241028222140,313,next,1,Greek,gamma,delta,delta,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,7,20241028222141,323,next,2,Greek,gamma,epsilon,delta,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,8,20241028222141,213,prev,1,Symbol,%,@,@,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,9,20241028222142,223,prev,2,Symbol,%,*,@,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,10,20241028222142,313,next,1,Symbol,%,!,!,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,11,20241028222143,323,next,2,Symbol,%,^,!,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,12,20241028222144,214,prev,1,Latin,d,c,c,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,13,20241028222144,224,prev,2,Latin,d,b,b,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,14,20241028222145,314,next,1,Latin,d,e,e,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,15,20241028222146,324,next,2,Latin,d,f,f,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,16,20241028222147,214,prev,1,Greek,delta,gamma,gamma,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,17,20241028222147,224,prev,2,Greek,delta,beta,beta,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,18,20241028222148,314,next,1,Greek,delta,epsilon,epsilon,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,19,20241028222148,324,next,2,Greek,delta,zeta,epsilon,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,20,20241028222149,214,prev,1,Symbol,!,%,%,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,21,20241028222150,224,prev,2,Symbol,!,@,@,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,22,20241028222150,314,next,1,Symbol,!,^,^,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,23,20241028222151,324,next,2,Symbol,!,#,^,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,24,20241028222152,215,prev,1,Latin,e,d,d,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,25,20241028222152,225,prev,2,Latin,e,c,c,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,26,20241028222153,315,next,1,Latin,e,f,f,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,27,20241028222154,325,next,2,Latin,e,g,g,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,28,20241028222154,215,prev,1,Greek,epsilon,delta,delta,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,29,20241028222155,225,prev,2,Greek,epsilon,gamma,gamma,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,30,20241028222156,315,next,1,Greek,epsilon,zeta,zeta,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,31,20241028222156,325,next,2,Greek,epsilon,eta,zeta,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,32,20241028222157,215,prev,1,Symbol,^,!,!,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,33,20241028222157,225,prev,2,Symbol,^,%,%,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,34,20241028222158,315,next,1,Symbol,^,#,#,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,35,20241028222159,325,next,2,Symbol,^,~,#,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,36,20241028222159,216,prev,1,Latin,f,e,e,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,37,20241028222200,226,prev,2,Latin,f,d,d,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,38,20241028222200,316,next,1,Latin,f,g,g,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,39,20241028222201,326,next,2,Latin,f,h,h,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,40,20241028222202,216,prev,1,Greek,zeta,epsilon,epsilon,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,41,20241028222202,226,prev,2,Greek,zeta,delta,epsilon,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,42,20241028222204,316,next,1,Greek,zeta,eta,eta,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,43,20241028222204,326,next,2,Greek,zeta,theta,theta,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,44,20241028222205,216,prev,1,Symbol,#,^,^,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,45,20241028222206,226,prev,2,Symbol,#,!,%,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,46,20241028222207,316,next,1,Symbol,#,~,~,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,47,20241028222207,326,next,2,Symbol,#,$,~,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,48,20241028222208,217,prev,1,Latin,g,f,f,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,49,20241028222209,227,prev,2,Latin,g,e,e,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,50,20241028222209,317,next,1,Latin,g,h,h,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,51,20241028222210,327,next,2,Latin,g,i,i,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,52,20241028222211,217,prev,1,Greek,eta,zeta,zeta,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,53,20241028222211,227,prev,2,Greek,eta,epsilon,gamma,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,54,20241028222212,317,next,1,Greek,eta,theta,theta,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,55,20241028222212,327,next,2,Greek,eta,iota,theta,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,56,20241028222213,217,prev,1,Symbol,~,#,^,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,57,20241028222214,227,prev,2,Symbol,~,^,%,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,58,20241028222214,317,next,1,Symbol,~,$,$,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,59,20241028222215,327,next,2,Symbol,~,{,$,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,60,20241028222215,218,prev,1,Latin,h,g,g,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,61,20241028222216,228,prev,2,Latin,h,f,f,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,62,20241028222217,318,next,1,Latin,h,i,i,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,63,20241028222218,328,next,2,Latin,h,j,j,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,64,20241028222219,218,prev,1,Greek,theta,eta,eta,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,65,20241028222219,228,prev,2,Greek,theta,zeta,eta,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,66,20241028222220,318,next,1,Greek,theta,iota,iota,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,67,20241028222220,328,next,2,Greek,theta,kappa,iota,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,68,20241028222221,218,prev,1,Symbol,$,~,~,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,69,20241028222221,228,prev,2,Symbol,$,#,%,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,70,20241028222222,318,next,1,Symbol,$,{,{,0
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,71,20241028222222,328,next,2,Symbol,$,=,=,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,0,20241028222224,213,prev,1,Latin,c,b,b,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,1,20241028222224,223,prev,2,Latin,c,a,a,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,2,20241028222225,313,next,1,Latin,c,d,d,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,3,20241028222226,323,next,2,Latin,c,e,e,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,4,20241028222227,213,prev,1,Greek,gamma,beta,beta,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,5,20241028222227,223,prev,2,Greek,gamma,alpha,alpha,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,6,20241028222228,313,next,1,Greek,gamma,delta,delta,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,7,20241028222229,323,next,2,Greek,gamma,epsilon,Epsilon,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,8,20241028222229,213,prev,1,Symbol,%,@,@,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,9,20241028222230,223,prev,2,Symbol,%,*,@,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,10,20241028222231,313,next,1,Symbol,%,!,!,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,11,20241028222232,323,next,2,Symbol,%,^,!,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,12,20241028222232,214,prev,1,Latin,d,c,c,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,13,20241028222233,224,prev,2,Latin,d,b,b,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,14,20241028222234,314,next,1,Latin,d,e,e,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,15,20241028222235,324,next,2,Latin,d,f,f,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,16,20241028222236,214,prev,1,Greek,delta,gamma,gamma,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,17,20241028222237,224,prev,2,Greek,delta,beta,beta,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,18,20241028222237,314,next,1,Greek,delta,epsilon,ε,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,19,20241028222238,324,next,2,Greek,delta,zeta,Zeta,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,20,20241028222239,214,prev,1,Symbol,!,%,%,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,21,20241028222240,224,prev,2,Symbol,!,@,%,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,22,20241028222240,314,next,1,Symbol,!,^,^,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,23,20241028222241,324,next,2,Symbol,!,#,^,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,24,20241028222242,215,prev,1,Latin,e,d,d,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,25,20241028222243,225,prev,2,Latin,e,c,c,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,26,20241028222244,315,next,1,Latin,e,f,f,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,27,20241028222244,325,next,2,Latin,e,g,g,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,28,20241028222245,215,prev,1,Greek,epsilon,delta,delta,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,29,20241028222246,225,prev,2,Greek,epsilon,gamma,gamma,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,30,20241028222247,315,next,1,Greek,epsilon,zeta,ζ,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,31,20241028222247,325,next,2,Greek,epsilon,eta,η,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,32,20241028222248,215,prev,1,Symbol,^,!,!,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,33,20241028222249,225,prev,2,Symbol,^,%,!,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,34,20241028222249,315,next,1,Symbol,^,#,#,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,35,20241028222250,325,next,2,Symbol,^,~,~,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,36,20241028222251,216,prev,1,Latin,f,e,e,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,37,20241028222252,226,prev,2,Latin,f,d,d,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,38,20241028222253,316,next,1,Latin,f,g,g,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,39,20241028222254,326,next,2,Latin,f,h,h,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,40,20241028222254,216,prev,1,Greek,zeta,epsilon,epsilon,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,41,20241028222255,226,prev,2,Greek,zeta,delta,Epsilon,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,42,20241028222256,316,next,1,Greek,zeta,eta,η,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,43,20241028222256,326,next,2,Greek,zeta,theta,θ,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,44,20241028222257,216,prev,1,Symbol,#,^,^,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,45,20241028222258,226,prev,2,Symbol,#,!,^,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,46,20241028222259,316,next,1,Symbol,#,~,~,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,47,20241028222259,326,next,2,Symbol,#,$,~,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,48,20241028222300,217,prev,1,Latin,g,f,f,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,49,20241028222301,227,prev,2,Latin,g,e,e,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,50,20241028222301,317,next,1,Latin,g,h,h,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,51,20241028222302,327,next,2,Latin,g,i,i,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,52,20241028222302,217,prev,1,Greek,eta,zeta,Zeta,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,53,20241028222303,227,prev,2,Greek,eta,epsilon,epsilon,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,54,20241028222304,317,next,1,Greek,eta,theta,θ,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,55,20241028222304,327,next,2,Greek,eta,iota,θ,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,56,20241028222305,217,prev,1,Symbol,~,#,#,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,57,20241028222306,227,prev,2,Symbol,~,^,^,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,58,20241028222306,317,next,1,Symbol,~,$,$,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,59,20241028222307,327,next,2,Symbol,~,{,{,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,60,20241028222308,218,prev,1,Latin,h,g,g,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,61,20241028222308,228,prev,2,Latin,h,f,f,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,62,20241028222309,318,next,1,Latin,h,i,i,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,63,20241028222310,328,next,2,Latin,h,j,j,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,64,20241028222311,218,prev,1,Greek,theta,eta,η,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,65,20241028222312,228,prev,2,Greek,theta,zeta,Zeta,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,66,20241028222313,318,next,1,Greek,theta,iota,ι,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,67,20241028222313,328,next,2,Greek,theta,kappa,κ,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,68,20241028222314,218,prev,1,Symbol,$,~,~,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,69,20241028222315,228,prev,2,Symbol,$,#,~,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,70,20241028222315,318,next,1,Symbol,$,{,{,0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,71,20241028222316,328,next,2,Symbol,$,=,:,0
google/gemma-2-27b-it,0,20241028222318,213,prev,1,Latin,c,b,b,0
google/gemma-2-27b-it,1,20241028222320,223,prev,2,Latin,c,a,a,0
google/gemma-2-27b-it,2,20241028222323,313,next,1,Latin,c,d,d,0
google/gemma-2-27b-it,3,20241028222325,323,next,2,Latin,c,e,e,0
google/gemma-2-27b-it,4,20241028222327,213,prev,1,Greek,gamma,beta,beta,0
google/gemma-2-27b-it,5,20241028222330,223,prev,2,Greek,gamma,alpha,beta,0
google/gemma-2-27b-it,6,20241028222331,313,next,1,Greek,gamma,delta,delta,0
google/gemma-2-27b-it,7,20241028222333,323,next,2,Greek,gamma,epsilon,delta,0
google/gemma-2-27b-it,8,20241028222334,213,prev,1,Symbol,%,@,@,0
google/gemma-2-27b-it,9,20241028222335,223,prev,2,Symbol,%,*,!,0
google/gemma-2-27b-it,10,20241028222336,313,next,1,Symbol,%,!,!,0
google/gemma-2-27b-it,11,20241028222339,323,next,2,Symbol,%,^,^,0
google/gemma-2-27b-it,12,20241028222340,214,prev,1,Latin,d,c,c,0
google/gemma-2-27b-it,13,20241028222342,224,prev,2,Latin,d,b,b,0
google/gemma-2-27b-it,14,20241028222344,314,next,1,Latin,d,e,e,0
google/gemma-2-27b-it,15,20241028222346,324,next,2,Latin,d,f,f,0
google/gemma-2-27b-it,16,20241028222348,214,prev,1,Greek,delta,gamma,gamma,0
google/gemma-2-27b-it,17,20241028222348,224,prev,2,Greek,delta,beta,beta,0
google/gemma-2-27b-it,18,20241028222351,314,next,1,Greek,delta,epsilon,epsilon,0
google/gemma-2-27b-it,19,20241028222352,324,next,2,Greek,delta,zeta,gamma,0
google/gemma-2-27b-it,20,20241028222356,214,prev,1,Symbol,!,%,@,0
google/gemma-2-27b-it,21,20241028222357,224,prev,2,Symbol,!,@,%,0
google/gemma-2-27b-it,22,20241028222359,314,next,1,Symbol,!,^,@,0
google/gemma-2-27b-it,23,20241028222402,324,next,2,Symbol,!,#,#,0
google/gemma-2-27b-it,24,20241028222405,215,prev,1,Latin,e,d,d,0
